Date,Time,PM10 (μg/m³),PM2.5 (μg/m³),CO (μg/m³),NO2 (μg/m³),SO2 (μg/m³),Temp (°C),Humidity (%),Wind_Speed (km/h),Soil_Moisture (m³/m³),AQI
2022-08-05,00:00:00,31.7,22.2,478.0,14.1,5.2,20.3,98.0,3.1,0.426,58
2022-08-05,01:00:00,29.7,20.8,435.0,11.6,4.5,21.0,96.0,1.8,0.425,59
2022-08-05,02:00:00,25.3,17.7,374.0,8.2,3.5,21.7,93.0,3.1,0.424,59
2022-08-05,03:00:00,23.1,16.2,303.0,4.3,2.5,23.2,86.0,3.1,0.423,60
2022-08-05,04:00:00,20.3,14.2,272.0,2.9,2.0,25.1,76.0,2.1,0.421,60
2022-08-05,05:00:00,20.0,14.0,250.0,2.2,1.8,25.9,71.0,0.0,0.418,61
2022-08-05,06:00:00,20.0,14.0,231.0,1.6,1.5,26.7,68.0,3.1,0.416,61
2022-08-05,07:00:00,20.2,14.1,223.0,1.4,1.5,26.7,70.0,6.9,0.413,61
2022-08-05,08:00:00,20.8,14.6,221.0,1.5,1.5,25.5,75.0,3.6,0.427,61
2022-08-05,09:00:00,21.4,15.0,223.0,2.0,1.6,24.6,82.0,3.3,0.424,61
2022-08-05,10:00:00,21.7,15.2,213.0,1.7,1.6,25.1,82.0,4.1,0.422,61
2022-08-05,11:00:00,23.0,16.1,202.0,1.4,1.6,25.0,82.0,3.2,0.42,62
2022-08-05,12:00:00,20.3,14.2,244.0,5.4,1.9,23.2,86.0,4.9,0.424,62
2022-08-05,13:00:00,25.0,17.5,371.0,16.9,2.3,23.3,85.0,1.9,0.423,63
2022-08-05,14:00:00,35.6,24.9,549.0,33.0,3.0,22.0,93.0,3.2,0.422,63
2022-08-05,15:00:00,39.2,27.5,700.0,46.3,3.5,22.2,93.0,3.9,0.43,63
2022-08-05,16:00:00,32.2,22.6,659.0,41.9,3.4,21.7,96.0,2.3,0.428,64
2022-08-05,17:00:00,28.9,20.3,543.0,30.3,3.0,21.6,94.0,1.8,0.426,64
2022-08-05,18:00:00,26.0,18.2,417.0,17.2,2.5,21.4,93.0,3.0,0.424,63
2022-08-05,19:00:00,26.8,18.8,405.0,14.6,2.6,21.1,95.0,2.8,0.424,63
2022-08-05,20:00:00,27.9,19.6,426.0,14.6,2.8,20.8,96.0,3.6,0.425,63
2022-08-05,21:00:00,30.0,21.0,452.0,14.9,3.1,20.3,97.0,1.8,0.43,63
2022-08-05,22:00:00,31.3,21.9,458.0,14.0,3.3,20.1,99.0,3.5,0.43,63
2022-08-05,23:00:00,31.5,22.1,461.0,13.1,3.5,20.2,98.0,4.8,0.427,64
2022-08-06,00:00:00,34.0,23.8,497.0,13.0,3.7,20.5,95.0,3.6,0.428,64
2022-08-06,01:00:00,32.0,22.4,452.0,11.6,3.6,21.2,95.0,3.3,0.425,64
2022-08-06,02:00:00,27.5,19.3,389.0,9.4,3.5,22.7,88.0,2.2,0.424,64
2022-08-06,03:00:00,24.7,17.3,319.0,6.8,3.5,23.6,84.0,4.1,0.422,64
2022-08-06,04:00:00,25.3,17.7,296.0,5.2,3.4,24.6,79.0,2.5,0.421,64
2022-08-06,05:00:00,26.5,18.5,285.0,3.8,3.3,25.7,77.0,3.4,0.419,65
2022-08-06,06:00:00,26.9,18.8,274.0,2.7,3.0,25.9,74.0,3.4,0.42,65
2022-08-06,07:00:00,25.1,17.6,259.0,2.3,2.6,25.7,77.0,6.0,0.43,65
2022-08-06,08:00:00,23.6,16.5,244.0,2.5,2.0,25.2,77.0,4.4,0.427,66
2022-08-06,09:00:00,23.9,16.7,234.0,3.2,1.6,25.4,77.0,4.3,0.426,66
2022-08-06,10:00:00,23.7,16.6,231.0,3.6,1.9,25.7,77.0,3.3,0.423,66
2022-08-06,11:00:00,23.5,16.4,234.0,4.2,2.5,24.7,80.0,3.1,0.423,66
2022-08-06,12:00:00,28.8,20.1,303.0,10.5,3.2,23.7,83.0,2.5,0.421,66
2022-08-06,13:00:00,30.5,21.4,379.0,17.0,3.3,22.5,89.0,1.4,0.428,67
2022-08-06,14:00:00,32.0,22.4,486.0,26.0,3.5,22.0,93.0,1.9,0.428,67
2022-08-06,15:00:00,35.9,25.1,590.0,34.4,3.5,21.7,95.0,3.8,0.429,67
2022-08-06,16:00:00,38.5,27.0,599.0,34.2,3.4,21.9,95.0,2.0,0.429,67
2022-08-06,17:00:00,34.8,24.3,574.0,30.7,3.2,21.8,95.0,2.9,0.43,67
